id,titre
IPCC-2012,Managing the Risks of Extreme Events and Disasters to Advance Climate Change Adaptation
IUNC-2011,
IPCC-2001-1,
IPCC-2018,Special Report: Global Warming of 1.5 ÂºC
UNFCC-1999,
IPCC-2014-1,Mitigation
IPCC-2019-1,2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
UNFCC-2021,
IPCC-2019-2,"IPCC special report on climate change, desertification, land degradation, sustainable land management, food security, and greenhouse gas fluxes in terrestrial ecosystems"
IPCC-2014-2,"AR5 Climate Change 2014: Impacts, Adaptation, and Vulnerability"
IPCC-2014-3,Climate Change 2014: Synthesis Report
IPCC-2007-1,Glossary specific to Paleoclimate -AR4 Climate Change 2007: The Physical Science Basis
IPCC-1992-1,Acronyms - Climate Change 1992: The Supplementary Report to the IPCC Impacts Assessment
IPCC-2005-1,Safeguarding the Ozone Layer and the Global Climate System
IPCC-2005-2,IPCC Special Report on Carbon dioxide Capture and Storage
IPCC-2011-1,IPCC Special Report on Renewable Energy Sources and Climate Change Mitigation
IPCC-2001-2,"TAR Climate Change 2001: Impacts, Adaptation, and Vulnerability"
IPCC-2007-2,AR4 Climate Change 2007: Mitigation of Climate Change
IPCC-2007-3,"AR4 Climate Change 2007: Impacts, Adaptation, and Vulnerability"
IPCC-2013-1,Climate Change 2013: The Physical Science Basis
IPCC-1995-1,"Climate Change 1995 - The science of CC - Contribution of WGI to the Second Assessment Report
of the Intergovernmental Panel on Climate Change"